epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.873,1.27233,2.905,1.3014,0.91477,0.1268,0.48754,0.34418,1.08631,3.36184,1.25237,0.000465748,0.000465748,0.000465748
2,480.149,1.23417,2.4012,1.28111,0.37033,0.54733,0.52683,0.34775,1.33001,3.08734,1.52076,0.000923428,0.000923428,0.000923428
3,701.889,1.31852,2.27643,1.32539,0.48789,0.7496,0.61513,0.4038,1.21291,2.63643,1.33004,0.00136225,0.00136225,0.00136225
4,917.054,1.35677,2.20868,1.3322,0.55146,0.88032,0.68498,0.44465,1.23335,2.4535,1.41813,0.00134412,0.00134412,0.00134412
5,1150.44,1.30493,1.95884,1.27845,0.53367,0.70621,0.65531,0.39882,1.26178,2.46498,1.31095,0.00131582,0.00131582,0.00131582
6,1355.23,1.28607,1.82435,1.27644,0.52699,0.78801,0.69241,0.42444,1.38852,2.83518,1.50809,0.00128753,0.00128753,0.00128753
7,1543.78,1.30222,1.87557,1.30835,0.68629,0.76873,0.73122,0.47932,1.17562,3.19899,1.30107,0.00125923,0.00125923,0.00125923
8,1727.86,1.28211,1.71514,1.26163,0.7681,0.7617,0.79737,0.53953,1.22826,1.98848,1.30834,0.00123094,0.00123094,0.00123094
9,1934.53,1.23336,1.52903,1.2404,0.77895,0.83986,0.90638,0.65501,1.18643,1.85856,1.28958,0.00120265,0.00120265,0.00120265
10,2188.14,1.24455,1.57548,1.2642,0.86359,0.84601,0.91437,0.67008,1.05542,1.69832,1.22295,0.00117435,0.00117435,0.00117435
11,2420.15,1.17485,1.41465,1.21003,0.7881,0.86887,0.88595,0.6605,1.11795,1.54935,1.26337,0.00114606,0.00114606,0.00114606
12,2606.6,1.15141,1.3632,1.20337,0.88939,0.83177,0.94681,0.67246,1.10519,1.35846,1.2027,0.00111776,0.00111776,0.00111776
13,2844.59,1.13559,1.28468,1.19748,0.93578,0.9011,0.97202,0.71777,1.03078,1.16969,1.21232,0.00108947,0.00108947,0.00108947
14,3098.38,1.07401,1.24361,1.1639,0.94995,0.84949,0.95148,0.67479,1.05223,1.34246,1.22922,0.00106118,0.00106118,0.00106118
15,3288.53,1.10171,1.21626,1.19641,0.89394,0.93171,0.95055,0.71588,1.02166,1.12525,1.18174,0.00103288,0.00103288,0.00103288
16,3479.01,1.09773,1.11935,1.16748,0.94646,0.8991,0.96755,0.7393,0.99122,1.07882,1.14888,0.00100459,0.00100459,0.00100459
17,3664.12,1.1406,1.12532,1.19977,0.87196,0.92781,0.92154,0.7272,0.95878,1.07635,1.15917,0.000976293,0.000976293,0.000976293
18,3843.58,1.11965,1.144,1.20364,0.82189,0.89556,0.91471,0.68969,0.97156,1.24374,1.14055,0.000947999,0.000947999,0.000947999
19,4034.41,1.01802,1.03615,1.1363,0.9595,0.92527,0.97884,0.75694,0.97834,0.87212,1.12182,0.000919704,0.000919704,0.000919704
20,4218.56,1.06749,1.07458,1.16296,0.9192,0.91884,0.95864,0.74729,0.95324,0.97891,1.13525,0.00089141,0.00089141,0.00089141
21,4404.98,1.05417,1.05502,1.15367,0.92593,0.99891,0.98495,0.78035,0.89546,0.83653,1.08447,0.000863116,0.000863116,0.000863116
22,4593.02,1.02932,1.05573,1.14169,0.922,0.98187,0.99278,0.76663,0.95739,0.82023,1.07142,0.000834822,0.000834822,0.000834822
23,4794.17,1.00563,0.94578,1.13286,0.98999,0.92427,0.99027,0.76143,0.90226,0.78279,1.06909,0.000806528,0.000806528,0.000806528
24,4979.17,0.9926,0.94703,1.11201,0.98727,0.94072,0.99393,0.79863,0.85633,0.76628,1.05461,0.000778233,0.000778233,0.000778233
25,5166.43,0.95688,0.92628,1.09342,0.99478,1,0.995,0.80137,0.84897,0.69687,1.03254,0.000749939,0.000749939,0.000749939
26,5350.36,0.95506,0.89913,1.09567,0.99024,0.92549,0.99199,0.76719,0.93525,0.74577,1.13848,0.000721645,0.000721645,0.000721645
