epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,5530.47,0.98508,0.90485,1.13649,0.98644,0.97003,0.995,0.79324,0.92801,0.7182,1.10029,0.000693351,0.000693351,0.000693351
28,5708.05,0.93949,0.88225,1.09116,0.93503,0.94814,0.97779,0.77904,0.87225,0.88275,1.05161,0.000665057,0.000665057,0.000665057
29,5888.22,0.94034,0.8831,1.11674,0.94012,0.9551,0.9844,0.78464,0.85779,0.76897,1.03914,0.000636762,0.000636762,0.000636762
30,6078.16,0.95974,0.8799,1.10945,0.96913,0.96926,0.99348,0.79105,0.8341,0.66359,1.05065,0.000608468,0.000608468,0.000608468
31,6263.6,0.95019,0.88702,1.11428,0.96146,0.98092,0.995,0.80371,0.85736,0.65134,1.02171,0.000580174,0.000580174,0.000580174
32,6447.5,0.91864,0.83696,1.09296,0.97149,0.98122,0.995,0.80123,0.83758,0.64786,1.00391,0.00055188,0.00055188,0.00055188
33,6630.62,0.91947,0.78003,1.09075,0.98283,0.98848,0.995,0.83177,0.77287,0.6048,0.99242,0.000523586,0.000523586,0.000523586
34,6815.39,0.88388,0.77845,1.08118,0.98722,0.9902,0.995,0.81042,0.81116,0.59284,1.02753,0.000495291,0.000495291,0.000495291
35,6998.67,0.87901,0.77464,1.05985,0.98539,0.9259,0.995,0.83241,0.77216,0.64335,0.99878,0.000466997,0.000466997,0.000466997
36,7182.51,0.85874,0.75053,1.06204,0.99351,0.99959,0.995,0.83659,0.74408,0.54498,0.9948,0.000438703,0.000438703,0.000438703
37,7363.43,0.84326,0.76394,1.05451,0.96678,0.98384,0.995,0.82382,0.72134,0.55654,0.97292,0.000410409,0.000410409,0.000410409
38,7544.19,0.81816,0.71942,1.03798,0.99402,0.9981,0.995,0.80857,0.75618,0.5461,1.00453,0.000382115,0.000382115,0.000382115
39,7727.22,0.84426,0.75719,1.04737,0.99018,0.99679,0.995,0.81809,0.77373,0.54999,0.99489,0.00035382,0.00035382,0.00035382
40,7910.57,0.80476,0.71292,1.03904,0.97896,0.97473,0.995,0.83344,0.72032,0.54796,0.97592,0.000325526,0.000325526,0.000325526
41,8091.99,0.67534,0.5273,0.95672,0.97127,0.96928,0.995,0.8311,0.73569,0.54995,0.98801,0.000297232,0.000297232,0.000297232
42,8273.5,0.62596,0.48653,0.9434,0.95927,0.96895,0.99421,0.8289,0.72842,0.59443,0.99023,0.000268938,0.000268938,0.000268938
43,8454.32,0.62925,0.49627,0.94858,0.93823,0.94311,0.98843,0.82157,0.72772,0.6756,0.97315,0.000240644,0.000240644,0.000240644
44,8632.14,0.61908,0.47977,0.95007,0.95425,0.94938,0.99382,0.82978,0.75264,0.61628,0.98438,0.000212349,0.000212349,0.000212349
45,8812.53,0.58563,0.45307,0.92712,0.97461,0.98792,0.995,0.83338,0.7442,0.52088,0.98037,0.000184055,0.000184055,0.000184055
46,8988.56,0.58815,0.45544,0.9178,0.96931,0.98345,0.995,0.82832,0.73005,0.54404,0.97324,0.000155761,0.000155761,0.000155761
47,9163.65,0.57197,0.43654,0.91732,0.95958,0.97025,0.98741,0.83154,0.69284,0.59419,0.96296,0.000127467,0.000127467,0.000127467
48,9338.86,0.57749,0.4456,0.93325,0.97001,0.97398,0.99421,0.84126,0.69709,0.55602,0.96959,9.91726e-05,9.91726e-05,9.91726e-05
49,9514.8,0.57151,0.4409,0.90647,0.9719,0.97454,0.99421,0.83849,0.71236,0.54775,0.96883,7.08784e-05,7.08784e-05,7.08784e-05
50,9695.26,0.55932,0.43113,0.92288,0.96219,0.9807,0.99303,0.83177,0.70842,0.55121,0.96452,4.25842e-05,4.25842e-05,4.25842e-05
