epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6074,0.82518,2.12891,1.41827,0.68909,0.56908,0.65439,0.30872,1.41506,3.24058,3.08595,0.000649123,0.000649123,0.000649123
2,92.2373,0.96743,1.75885,1.50875,0.63639,0.63862,0.69742,0.37719,1.35068,2.84223,2.32733,0.00128974,0.00128974,0.00128974
3,137.475,0.93288,1.65913,1.51025,0.57409,0.43243,0.46905,0.24881,1.55121,3.39768,2.48711,0.00190395,0.00190395,0.00190395
4,183.03,0.95895,1.5491,1.50322,0.48967,0.52703,0.5251,0.22199,1.92445,2.96695,3.34088,0.0018812,0.0018812,0.0018812
5,231.034,1.02167,1.53684,1.53494,0.3908,0.52703,0.39512,0.21258,1.50528,5.03617,2.3479,0.0018416,0.0018416,0.0018416
6,287.826,1.01295,1.39643,1.54431,0.62872,0.63514,0.73215,0.47096,1.23522,2.1439,2.15113,0.001802,0.001802,0.001802
7,338.408,1.03306,1.44268,1.55899,0.78245,0.86486,0.83009,0.54037,1.03545,1.66632,1.92554,0.0017624,0.0017624,0.0017624
