epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1058.78,0.78107,0.94653,1.34465,0.81883,0.87838,0.88086,0.64797,0.91386,0.95077,1.6591,0.0013664,0.0013664,0.0013664
18,1102.99,0.78294,1.00802,1.34205,0.85443,0.85135,0.90384,0.73201,0.67386,0.82864,1.43216,0.0013268,0.0013268,0.0013268
19,1146.12,0.71579,0.90193,1.30072,0.83858,0.8425,0.84814,0.65519,0.86645,1.03094,1.57173,0.0012872,0.0012872,0.0012872
20,1189.97,0.74444,0.9207,1.31074,0.82167,0.87177,0.89406,0.64745,0.92732,0.98322,1.61175,0.0012476,0.0012476,0.0012476
21,1233.92,0.71338,0.87339,1.29523,0.82461,0.83784,0.84835,0.67335,0.80459,0.97325,1.51561,0.001208,0.001208,0.001208
22,1277.65,0.68897,0.83482,1.26473,0.84131,0.91892,0.8898,0.68614,0.77457,0.80886,1.46837,0.0011684,0.0011684,0.0011684
23,1321.03,0.73555,0.93157,1.32524,0.81237,0.87838,0.87487,0.66596,0.82183,0.80201,1.62955,0.0011288,0.0011288,0.0011288
24,1364.33,0.73539,0.91467,1.32898,0.8087,0.91406,0.90579,0.71987,0.7535,0.82111,1.4567,0.0010892,0.0010892,0.0010892
25,1424.04,0.72276,0.87803,1.31999,0.8371,0.91892,0.89567,0.73353,0.68824,0.77753,1.36031,0.0010496,0.0010496,0.0010496
26,1468.36,0.71361,0.86646,1.30129,0.78477,0.89189,0.88677,0.71288,0.76457,0.78548,1.4096,0.00101,0.00101,0.00101
27,1511.55,0.6899,0.83461,1.27333,0.79761,0.89189,0.86611,0.68815,0.8132,0.76009,1.51194,0.0009704,0.0009704,0.0009704
28,1554.4,0.66043,0.78097,1.25816,0.8137,0.88539,0.88618,0.68749,0.81357,0.80607,1.4696,0.0009308,0.0009308,0.0009308
29,1597.47,0.65086,0.82847,1.25403,0.83325,0.86486,0.90316,0.73893,0.69798,0.80161,1.37308,0.0008912,0.0008912,0.0008912
30,1641.22,0.65891,0.81651,1.2532,0.8613,0.89189,0.89925,0.76441,0.6193,0.7268,1.28583,0.0008516,0.0008516,0.0008516
31,1684.69,0.58874,0.7467,1.20531,0.91604,0.89189,0.91239,0.76428,0.65046,0.70591,1.3,0.000812,0.000812,0.000812
32,1731.86,0.6378,0.76699,1.24123,0.86965,0.90158,0.92112,0.74882,0.62886,0.65794,1.30357,0.0007724,0.0007724,0.0007724
33,1781,0.62764,0.7496,1.2346,0.84639,0.89189,0.91558,0.77439,0.63182,0.64813,1.29573,0.0007328,0.0007328,0.0007328
34,1830.34,0.60343,0.74629,1.22606,0.87313,0.86486,0.90709,0.7591,0.61131,0.68563,1.28721,0.0006932,0.0006932,0.0006932
35,1879.88,0.59146,0.72281,1.21893,0.8621,0.92933,0.91545,0.7756,0.62198,0.67033,1.2719,0.0006536,0.0006536,0.0006536
36,1927.13,0.58799,0.68879,1.21247,0.91716,0.89775,0.93325,0.79257,0.55555,0.62925,1.21492,0.000614,0.000614,0.000614
37,1974.92,0.53441,0.68902,1.17075,0.87456,0.89189,0.92751,0.7935,0.58354,0.65176,1.22268,0.0005744,0.0005744,0.0005744
38,2018.45,0.57323,0.72949,1.18744,0.90068,0.8579,0.92774,0.81045,0.5425,0.63179,1.21926,0.0005348,0.0005348,0.0005348
39,2061.61,0.59293,0.7141,1.23525,0.85994,0.91271,0.93453,0.80966,0.55095,0.62549,1.19229,0.0004952,0.0004952,0.0004952
40,2104.45,0.51751,0.65826,1.1416,0.81159,0.91892,0.92574,0.79959,0.55977,0.61284,1.21915,0.0004556,0.0004556,0.0004556
41,2147.18,0.40242,0.6742,1.10225,0.83939,0.90541,0.88797,0.7694,0.59372,0.69726,1.26052,0.000416,0.000416,0.000416
42,2189.68,0.40372,0.65939,1.12298,0.77291,0.90541,0.89893,0.76003,0.60563,0.76229,1.22075,0.0003764,0.0003764,0.0003764
43,2231.99,0.38622,0.60639,1.09704,0.91101,0.86486,0.93802,0.80546,0.52211,0.63179,1.17125,0.0003368,0.0003368,0.0003368
44,2274.69,0.34488,0.54104,1.04806,0.92283,0.85135,0.92728,0.8244,0.49241,0.61843,1.15065,0.0002972,0.0002972,0.0002972
45,2318.29,0.35654,0.53501,1.05109,0.88153,0.90541,0.93206,0.80366,0.52954,0.64846,1.19609,0.0002576,0.0002576,0.0002576
46,2361.68,0.32472,0.53755,1.02577,0.88189,0.89189,0.92788,0.80524,0.55488,0.67948,1.22562,0.000218,0.000218,0.000218
47,2403.89,0.34745,0.51848,1.06248,0.82413,0.91892,0.92075,0.82398,0.50069,0.63896,1.15607,0.0001784,0.0001784,0.0001784
48,2447.47,0.28237,0.45871,1.00316,0.84714,0.91892,0.92351,0.81523,0.49248,0.63812,1.12216,0.0001388,0.0001388,0.0001388
49,2490.34,0.28551,0.46349,1.01838,0.83931,0.91759,0.92259,0.82282,0.47833,0.62213,1.11757,9.92e-05,9.92e-05,9.92e-05
50,2533.04,0.29009,0.45724,1.00088,0.82502,0.89189,0.92053,0.82104,0.47681,0.6317,1.11824,5.96e-05,5.96e-05,5.96e-05
