epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1937,0.86368,2.06073,1.44227,0.79165,0.47297,0.74452,0.48172,0.80992,2.88293,1.61863,0.000649123,0.000649123,0.000649123
2,153.633,0.92387,1.71648,1.47042,0.58579,0.60811,0.58714,0.23511,1.82851,4.10203,3.74216,0.00128974,0.00128974,0.00128974
3,259.869,0.94634,1.6079,1.48307,0.49992,0.67547,0.53918,0.28008,1.32617,3.00062,2.42638,0.00190395,0.00190395,0.00190395
4,408.618,1.00313,1.59906,1.52221,0.56093,0.68919,0.60978,0.3158,1.53069,2.42948,2.75624,0.0018812,0.0018812,0.0018812
5,513.681,1.06308,1.68727,1.59896,0.42725,0.55405,0.46232,0.20436,1.48101,2.67204,2.33338,0.0018416,0.0018416,0.0018416
6,568.443,1.03947,1.49164,1.57183,0.62634,0.64865,0.61455,0.27852,1.60803,2.48091,2.64554,0.001802,0.001802,0.001802
7,614.519,0.9573,1.33706,1.46972,0.79462,0.78428,0.77329,0.44152,1.42206,1.63361,2.51339,0.0017624,0.0017624,0.0017624
8,659.405,0.98533,1.3463,1.49532,0.79009,0.83784,0.85844,0.60216,1.06224,1.39785,1.84177,0.0017228,0.0017228,0.0017228
9,710.559,0.87543,1.16232,1.41723,0.72459,0.56757,0.69791,0.46943,0.9778,1.77209,1.72725,0.0016832,0.0016832,0.0016832
10,754.218,0.90776,1.16965,1.42824,0.81734,0.90701,0.89124,0.67085,0.86529,1.12923,1.64656,0.0016436,0.0016436,0.0016436
11,798.637,0.92297,1.15847,1.46298,0.76352,0.87265,0.84949,0.60767,1.12466,1.18224,1.92523,0.001604,0.001604,0.001604
12,842.77,0.89623,1.08102,1.46039,0.85881,0.83784,0.87611,0.60921,0.99483,1.16332,1.87118,0.0015644,0.0015644,0.0015644
13,886.537,0.86808,1.11804,1.41092,0.75695,0.63134,0.70072,0.48832,1.09403,1.37431,1.92713,0.0015248,0.0015248,0.0015248
14,929.898,0.87574,1.04909,1.39723,0.87342,0.746,0.83832,0.58019,1.03663,1.24321,1.79021,0.0014852,0.0014852,0.0014852
15,972.808,0.83447,1.04111,1.39542,0.851,0.85135,0.86279,0.67202,0.81645,1.0051,1.54882,0.0014456,0.0014456,0.0014456
16,1016.11,0.79252,0.99217,1.3456,0.6848,0.77027,0.77152,0.53715,0.99838,1.20105,1.80227,0.001406,0.001406,0.001406
